Date,SP Returns,3-month T.Bill,US T. Bond (10-year), Baa Corporate Bond
2001-12-31,-0.1304,0.0348,0.055721811892492555,0.0859664074029726
2002-12-31,-0.2337,0.016399999999999998,0.15116400378109285,0.12056324507730691
2003-12-31,0.2638,0.0103,0.003753185881775853,0.1238264134705485
2004-12-31,0.0899,0.013999999999999999,0.04490683702274547,0.1032945825904709
2005-12-31,0.03,0.0322,0.028675329597779506,0.05132636680521878
2006-12-31,0.1362,0.048499999999999995,0.019610012417568386,0.05268414433251918
2007-12-31,0.0353,0.044800000000000006,0.10209921930012807,0.04904921448220188
2008-12-31,-0.3849,0.013999999999999999,0.20101279926977011,-0.034445066435111374
2009-12-31,0.2345,0.0015,-0.11116695313259162,0.19958466821865592
2010-12-31,0.1278,0.0014000000000000002,0.08462933880355772,0.09401929364596065
